test,Date,Time,Activity,Market,Direction,Quantity,Price,Currency,Consideration,Commission,Charges,Cost/Proceeds,Conversion rate,Order type,Venue ID,Settled?,Settlement date,Order ID
,19/06/2020,2:05:26,TRADE,Mesoblast Limited,SELL,-265,4.21,AUD,1115.65,-7.27,-0.73,-1107.65,1,LIMIT,XOFF,Y,23/06/2020,M8D48:1001902~4691
,16/06/2020,1:22:33,TRADE,Mesoblast Limited,BUY,266,3.81,AUD,-1013.46,-7.27,-0.73,-1021.46,1,LIMIT,XOFF,Y,18/06/2020,M8D48:1001013~2619
,16/06/2020,1:21:41,TRADE,NEXTDC Ltd,SELL,-110,9.47,AUD,1041.7,-7.27,-0.73,-1033.7,1,LIMIT,XOFF,Y,18/06/2020,M8D48:1001007~2581
,10/6/2020,1:58:41,TRADE,NEXTDC Ltd,BUY,110,8.91,AUD,-980.1,-7.27,-0.73,-988.1,1,LIMIT,XOFF,Y,12/6/2020,M8D48:995068~4061
,5/6/2020,6:48:39,TRADE,Flight Centre Travel Group Ltd,SELL,-64,15.43,AUD,987.52,-7.27,-0.73,-979.52,1,LIMIT,XOFF,Y,10/6/2020,M8D48:993475~12485
,5/6/2020,1:20,TRADE,Flight Centre Travel Group Ltd,BUY,65,15.15,AUD,-984.75,-7.27,-0.73,-992.75,1,LIMIT,XOFF,Y,10/6/2020,M8D48:993469~1908
,27/05/2020,2:38:04,TRADE,Challenger Ltd,BUY,192,5.16,AUD,-990.72,-7.27,-0.73,-998.72,1,LIMIT,XOFF,Y,29/05/2020,M8D48:986901~5845
,6/5/2020,2:58:14,TRADE,Webjet Ltd,BUY,367,2.7,AUD,-990.9,-7.27,-0.73,-998.9,1,LIMIT,XOFF,Y,8/5/2020,M8D48:969653~6024
,22/04/2020,10:17:37,CORPORATE ACTION,Webjet Ltd Rights Issue - Non Tradable,SELL,-72,0,AUD,0,,0,0,1,LIMIT,,Y,22/04/2020,Z8750-BL215714
,15/04/2020,1:14:25,TRADE,Westpac Banking Corp,BUY,61,16.23,AUD,-990.03,-7.27,-0.73,-998.03,1,LIMIT,XOFF,Y,17/04/2020,M8D48:953115~1777
,7/4/2020,8:24:05,CORPORATE ACTION,Webjet Ltd Rights Issue - Non Tradable,BUY,72,0,AUD,0,,0,0,1,LIMIT,,Y,7/4/2020,Z8750-BL212298
,25/02/2020,0:13:16,TRADE,Webjet Ltd,BUY,71,11.56,AUD,-820.76,-7.27,-0.73,-828.76,1,LIMIT,XOFF,Y,27/02/2020,M8D48:921379~59677
